,season,league_name,team,goals,goals_against,points,matches,dif_goals,pos,goals_diff,tot_teams,position,quart,quartile,weighed_rating,points_per_match
202,2012/2013,England Premier League,West Ham United,45,53,46.0,38,-8,10,-8,20,10,0.5,2.0,72.49373433583959,1.2105263157894737
203,2012/2013,England Premier League,Norwich City,41,58,44.0,38,-17,11,-17,20,11,0.55,3.0,72.82441900205059,1.1578947368421053
204,2012/2013,England Premier League,Fulham,50,60,43.0,38,-10,12,-10,20,12,0.6,3.0,76.36521417179311,1.131578947368421
205,2012/2013,England Premier League,Stoke City,34,45,42.0,38,-11,13,-11,20,13,0.65,3.0,75.10193096377307,1.105263157894737
206,2012/2013,England Premier League,Southampton,49,60,41.0,38,-11,14,-11,20,14,0.7,3.0,72.97392344497608,1.0789473684210527
207,2012/2013,England Premier League,Aston Villa,47,69,41.0,38,-22,15,-22,20,15,0.75,3.0,72.39238437001593,1.0789473684210527
208,2012/2013,England Premier League,Newcastle United,45,68,41.0,38,-23,16,-23,20,16,0.8,4.0,76.85043859649124,1.0789473684210527
209,2012/2013,England Premier League,Sunderland,41,54,39.0,38,-13,17,-13,20,17,0.85,4.0,75.08001822738665,1.0263157894736843
210,2012/2013,England Premier League,Wigan Athletic,47,73,36.0,38,-26,18,-26,20,18,0.9,4.0,73.91544771018454,0.9473684210526315
211,2012/2013,England Premier League,Reading,43,73,28.0,38,-30,19,-30,20,19,0.95,4.0,70.34782410571884,0.7368421052631579
212,2012/2013,England Premier League,Queens Park Rangers,30,60,25.0,38,-30,20,-30,20,20,1.0,4.0,74.7391774891775,0.6578947368421053
213,2013/2014,England Premier League,Manchester City,102,37,86.0,38,65,1,65,20,1,0.05,1.0,82.66622133847015,2.263157894736842
214,2013/2014,England Premier League,Liverpool,101,50,84.0,38,51,2,51,20,2,0.1,1.0,79.49796650717701,2.210526315789474
215,2013/2014,England Premier League,Chelsea,71,27,82.0,38,44,3,44,20,3,0.15,1.0,81.95669286853497,2.1578947368421053
216,2013/2014,England Premier League,Arsenal,68,41,79.0,38,27,4,27,20,4,0.2,1.0,80.47103646619198,2.0789473684210527
217,2013/2014,England Premier League,Everton,61,39,72.0,38,22,5,22,20,5,0.25,1.0,77.51042006239372,1.894736842105263
218,2013/2014,England Premier League,Tottenham Hotspur,55,51,69.0,38,4,6,4,20,6,0.3,2.0,78.55596729161324,1.8157894736842106
219,2013/2014,England Premier League,Manchester United,64,43,64.0,38,21,7,21,20,7,0.35,2.0,80.28450387331965,1.6842105263157894
220,2013/2014,England Premier League,Southampton,54,46,56.0,38,8,8,8,20,8,0.4,2.0,74.59617898050912,1.4736842105263157
221,2013/2014,England Premier League,Stoke City,45,52,50.0,38,-7,9,-7,20,9,0.45,2.0,74.75428447150934,1.3157894736842106
222,2013/2014,England Premier League,Newcastle United,43,59,49.0,38,-16,10,-16,20,10,0.5,2.0,76.46397527910685,1.2894736842105263
223,2013/2014,England Premier League,Crystal Palace,33,48,45.0,38,-15,11,-15,20,11,0.55,3.0,71.48081930031691,1.1842105263157894
224,2013/2014,England Premier League,Swansea City,54,54,42.0,38,0,12,0,20,12,0.6,3.0,75.68152144950707,1.105263157894737
225,2013/2014,England Premier League,West Ham United,40,51,40.0,38,-11,13,-11,20,13,0.65,3.0,73.2076699350623,1.0526315789473684
226,2013/2014,England Premier League,Sunderland,41,60,38.0,38,-19,14,-19,20,14,0.7,3.0,73.20586737823581,1.0
227,2013/2014,England Premier League,Aston Villa,39,61,38.0,38,-22,15,-22,20,15,0.75,3.0,73.53985532011848,1.0
228,2013/2014,England Premier League,Hull City,38,53,37.0,38,-15,16,-15,20,16,0.8,4.0,71.96565656565659,0.9736842105263158
229,2013/2014,England Premier League,West Bromwich Albion,43,59,36.0,38,-16,17,-16,20,17,0.85,4.0,73.74010214931269,0.9473684210526315
230,2013/2014,England Premier League,Norwich City,28,62,33.0,38,-34,18,-34,20,18,0.9,4.0,74.11199589883799,0.868421052631579
231,2013/2014,England Premier League,Fulham,40,85,32.0,38,-45,19,-45,20,19,0.95,4.0,75.08305319082834,0.8421052631578947
232,2013/2014,England Premier League,Cardiff City,32,74,30.0,38,-42,20,-42,20,20,1.0,4.0,71.94511657932712,0.7894736842105263
233,2014/2015,England Premier League,Chelsea,73,32,87.0,38,41,1,41,20,1,0.05,1.0,82.77294657097289,2.289473684210526
234,2014/2015,England Premier League,Manchester City,83,38,79.0,38,45,2,45,20,2,0.1,1.0,82.13779567720957,2.0789473684210527
235,2014/2015,England Premier League,Arsenal,71,36,75.0,38,35,3,35,20,3,0.15,1.0,79.00577580314425,1.9736842105263157
236,2014/2015,England Premier League,Manchester United,62,37,70.0,38,25,4,25,20,4,0.2,1.0,80.27417360147942,1.8421052631578947
237,2014/2015,England Premier League,Tottenham Hotspur,58,53,64.0,38,5,5,5,20,5,0.25,1.0,77.21460995145205,1.6842105263157894
238,2014/2015,England Premier League,Liverpool,52,48,62.0,38,4,6,4,20,6,0.3,2.0,78.61209972244662,1.631578947368421
239,2014/2015,England Premier League,Southampton,54,33,60.0,38,21,7,21,20,7,0.35,2.0,75.63063599080346,1.5789473684210527
240,2014/2015,England Premier League,Swansea City,46,49,56.0,38,-3,8,-3,20,8,0.4,2.0,74.96412891986064,1.4736842105263157
241,2014/2015,England Premier League,Stoke City,48,45,54.0,38,3,9,3,20,9,0.45,2.0,75.14122807017544,1.4210526315789473
242,2014/2015,England Premier League,Crystal Palace,47,51,48.0,38,-4,10,-4,20,10,0.5,2.0,73.2279650174387,1.263157894736842
243,2014/2015,England Premier League,Everton,48,50,47.0,38,-2,11,-2,20,11,0.55,3.0,78.13724859669836,1.236842105263158
